Phylum,Class,Order,Family,Genus,Species,Taxa,TSN,Common_name,Sex,Size_Maturity,Season_or_doy,Capture_method,Region,LME_Continent,Ocean_Freshwater,Storage_method,Storage_duration_years,Methodology,Sample_Type,N_replicates,Size_min_mm,Size_max_mm,Size_min_g,Size_max_g,Ash_perc,H2O_perc,Lipid_perc,AFLDM,Dry_KJg_mean,Dry_KJg_SD,Ash_KJg,Wet_KJg_mean,Wet_KJg_SD,Wet_KJg_min,Wet_KJg_max,Indigestible_perc,Publication_Type,Publication_Author,Publication_Journal,Publication_Year,Notes
Mollusca,Cephalopoda,Teuthida,Onychoteuthidae,Onychoteuthis,borealijaponicus,Onychoteuthis borealijaponicus,82442,N/A,NA,N/A,Summer and Fall,N/A,California Current,California Current,Pacific,N/A,NA,Bomb calorimetry,N/A,25,3.8,20,3.22,149,NA,78.4,NA,NA,NA,NA,NA,4.71,0.462,NA,NA,NA,Original,"Krug-MacLeod, A.M.",Unpublished Data,NA,"Published by Gleiber et al. 2024, The pelagic species trait database."
Mollusca,Cephalopoda,Teuthida,Histioteuthidae,Histioteuthis,heteropsis,Histioteuthis heteropsis,82499,N/A,NA,N/A,Summer and Winter,N/A,California Current,California Current,Pacific,N/A,NA,Bomb calorimetry,N/A,6,1.1,4.1,4.12,134,NA,90,NA,NA,NA,NA,NA,1.92,0.697,NA,NA,NA,Original,"Choy, C.A.",Unpublished Data,NA,"Published by Gleiber et al. 2024, The pelagic species trait database."
Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,N/A,Cancer,98671,N/A,NA,Larvae,Spring and Summer,N/A,Offshore Washington and Northern Oregon,California Current,Pacific,N/A,NA,Bomb calorimetry,N/A,894,NA,NA,0.01,0.01,NA,79.9,NA,NA,NA,NA,NA,3.16,1.02,NA,NA,NA,Original,"Daly, E.A.",Unpublished Data,NA,"Published by Gleiber et al. 2024, The pelagic species trait database. Cancer oregonensis/productus"
Chordata,Teleostei,Clupeiformes,Clupeidae,Alosa,pseudoharengus,Alosa pseudoharengus,161706,Alewife,NA,N/A,Fall,Trawls,Cape Hattaras to Scotian Shelf,Northeast US Continental Shelf,Atlantic,Frozen,1,Proximate composition,Whole body,2,185,220,86.9,177,2.94,69.7,9.3,18.1,26.2,0.4,NA,7.93,0.465,7.6,8.26,NA,Original,"Wuenschel, M.J.",Unpublished Data,2024,Reporting only those proximate composition samples measured directly in calibrating equations used for more in-depth analyses by Wuenschel et al. 2024
Chordata,Teleostei,Perciformes,Scombridae,Scomber,scombrus,Scomber scombrus,172414,Atlantic mackerel,NA,N/A,Fall,Trawls,Cape Hattaras to Scotian Shelf,Northeast US Continental Shelf,Atlantic,Frozen,1,Proximate composition,Whole body,37,190,340,54,411,2.6,71.4,7.4,18.5,25.4,1.8,NA,7.32,1.34,4.57,10.7,NA,Original,"Wuenschel, M.J.",Unpublished Data,2024,Reporting only those proximate composition samples measured directly in calibrating equations used for more in-depth analyses by Wuenschel et al. 2024
Chordata,Teleostei,Perciformes,Stromateidae,Peprilus,triacanthus,Peprilus triacanthus,172567,Butterfish,NA,N/A,Fall,Trawls,Cape Hattaras to Scotian Shelf,Northeast US Continental Shelf,Atlantic,Frozen,1,Proximate composition,Whole body,4,75,150,10.5,89.9,2.6,73.2,7.5,16.7,25.5,2.4,NA,6.89,1.54,5.08,8.56,NA,Original,"Wuenschel, M.J.",Unpublished Data,2024,Reporting only those proximate composition samples measured directly in calibrating equations used for more in-depth analyses by Wuenschel et al. 2024
Mollusca,Cephalopoda,Teuthida,Ommastrephidae,Illex,N/A,Illex,82520,Shortfin squid,NA,N/A,Fall,Trawls,Cape Hattaras to Scotian Shelf,Northeast US Continental Shelf,Atlantic,Frozen,1,Proximate composition,Whole body,3,120,135,33.9,44.6,2,76.9,1.8,19.4,22.9,0.6,NA,5.3,0.314,4.94,5.54,NA,Original,"Wuenschel, M.J.",Unpublished Data,2024,Reporting only those proximate composition samples measured directly in calibrating equations used for more in-depth analyses by Wuenschel et al. 2024
Mollusca,Cephalopoda,Teuthida,Loliginidae,Loligo,N/A,Loligo,82370,Longfin squid,NA,N/A,Fall,Trawls,Cape Hattaras to Scotian Shelf,Northeast US Continental Shelf,Atlantic,Frozen,1,Proximate composition,Whole body,23,55,155,5.96,106,1.8,77.2,1.4,19.6,22.8,0.5,NA,5.2,0.194,4.69,5.46,NA,Original,"Wuenschel, M.J.",Unpublished Data,2024,Reporting only those proximate composition samples measured directly in calibrating equations used for more in-depth analyses by Wuenschel et al. 2024
Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,harengus,Clupea harengus,161722,Atlantic herring,NA,N/A,Fall,Trawls,Cape Hattaras to Scotian Shelf,Northeast US Continental Shelf,Atlantic,Frozen,1,Proximate composition,Whole body,6,120,232,15.7,156,2.8,78,1.6,17.6,21.7,0.8,NA,4.8,0.638,4.21,5.8,NA,Original,"Wuenschel, M.J.",Unpublished Data,2024,Reporting only those proximate composition samples measured directly in calibrating equations used for more in-depth analyses by Wuenschel et al. 2024
Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius,bilinearis,Merluccius bilinearis,164791,Silver hake,NA,N/A,Fall,Trawls,Cape Hattaras to Scotian Shelf,Northeast US Continental Shelf,Atlantic,Frozen,1,Proximate composition,Whole body,11,125,265,22.9,160,2.9,80.1,1.5,15.5,21.4,0.8,NA,4.26,0.353,3.84,4.97,NA,Original,"Wuenschel, M.J.",Unpublished Data,2024,Reporting only those proximate composition samples measured directly in calibrating equations used for more in-depth analyses by Wuenschel et al. 2024
Chordata,Teleostei,Clupeiformes,Clupeidae,Alosa,pseudoharengus,Alosa pseudoharengus,161706,Alewife,NA,N/A,Spring,Trawls,Cape Hattaras to Scotian Shelf,Northeast US Continental Shelf,Atlantic,Frozen,1,Proximate composition,Whole body,69,125,245,31.9,261,3,73.3,6.1,17.6,24.4,2,NA,6.57,1.27,4.39,9.25,NA,Original,"Wuenschel, M.J.",Unpublished Data,2024,Reporting only those proximate composition samples measured directly in calibrating equations used for more in-depth analyses by Wuenschel et al. 2024
Chordata,Teleostei,Perciformes,Stromateidae,Peprilus,triacanthus,Peprilus triacanthus,172567,Butterfish,NA,N/A,Spring,Trawls,Cape Hattaras to Scotian Shelf,Northeast US Continental Shelf,Atlantic,Frozen,1,Proximate composition,Whole body,44,97.5,175,18.3,155,2.5,73.9,7.6,16.1,25.7,2.5,NA,6.81,1.67,4.05,10.2,NA,Original,"Wuenschel, M.J.",Unpublished Data,2024,Reporting only those proximate composition samples measured directly in calibrating equations used for more in-depth analyses by Wuenschel et al. 2024
Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,dubius,Ammodytes dubius,171674,Northern sand lance,NA,N/A,Spring,Trawls,Cape Hattaras to Scotian Shelf,Northeast US Continental Shelf,Atlantic,Frozen,1,Proximate composition,Whole body,47,95,185,2.45,16.4,2.19,75.4,4.8,17.6,24.6,1.2,NA,6.05,0.625,5.16,8.08,NA,Original,"Wuenschel, M.J.",Unpublished Data,2024,Reporting only those proximate composition samples measured directly in calibrating equations used for more in-depth analyses by Wuenschel et al. 2024
Mollusca,Cephalopoda,Teuthida,Ommastrephidae,Illex,N/A,Illex,82520,Shortfin squid,NA,N/A,Spring,Trawls,Cape Hattaras to Scotian Shelf,Northeast US Continental Shelf,Atlantic,Frozen,1,Proximate composition,Whole body,66,75,255,10,329,2,76.1,1.6,20.3,22.8,0.5,NA,5.45,0.293,4.65,6.16,NA,Original,"Wuenschel, M.J.",Unpublished Data,2024,Reporting only those proximate composition samples measured directly in calibrating equations used for more in-depth analyses by Wuenschel et al. 2024
Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,harengus,Clupea harengus,161722,Atlantic herring,NA,N/A,Spring,Trawls,Cape Hattaras to Scotian Shelf,Northeast US Continental Shelf,Atlantic,Frozen,1,Proximate composition,Whole body,73,120,245,15.8,200,2.8,76.7,3,17.4,22.7,1.6,NA,5.31,0.956,3.66,8.37,NA,Original,"Wuenschel, M.J.",Unpublished Data,2024,Reporting only those proximate composition samples measured directly in calibrating equations used for more in-depth analyses by Wuenschel et al. 2024
Mollusca,Cephalopoda,Teuthida,Loliginidae,Loligo,N/A,Loligo,82370,Longfin squid,NA,N/A,Spring,Trawls,Cape Hattaras to Scotian Shelf,Northeast US Continental Shelf,Atlantic,Frozen,1,Proximate composition,Whole body,75,37.5,222,3.03,152,1.9,77.2,1.4,19.4,22.6,0.6,NA,5.15,0.277,4.25,5.69,NA,Original,"Wuenschel, M.J.",Unpublished Data,2024,Reporting only those proximate composition samples measured directly in calibrating equations used for more in-depth analyses by Wuenschel et al. 2024
Chordata,Teleostei,Perciformes,Scombridae,Scomber,scombrus,Scomber scombrus,172414,Atlantic mackerel,NA,N/A,Spring,Trawls,Cape Hattaras to Scotian Shelf,Northeast US Continental Shelf,Atlantic,Frozen,1,Proximate composition,Whole body,12,160,265,39,201,2.7,77.9,2.5,16.9,22.4,1,NA,4.98,0.699,3.89,6.15,NA,Original,"Wuenschel, M.J.",Unpublished Data,2024,Reporting only those proximate composition samples measured directly in calibrating equations used for more in-depth analyses by Wuenschel et al. 2024
Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius,bilinearis,Merluccius bilinearis,164791,Silver hake,NA,N/A,Spring,Trawls,Cape Hattaras to Scotian Shelf,Northeast US Continental Shelf,Atlantic,Frozen,1,Proximate composition,Whole body,134,80,350,3.24,414,2.9,80.2,1.5,15.4,21.4,0.9,NA,4.25,0.429,3.41,5.26,NA,Original,"Wuenschel, M.J.",Unpublished Data,2024,Reporting only those proximate composition samples measured directly in calibrating equations used for more in-depth analyses by Wuenschel et al. 2024
Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,superba,Euphausia superba,95514,N/A,NA,Adult,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Pooled whole body,23,NA,NA,NA,NA,NA,73.3,NA,NA,NA,NA,NA,4.07,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,crystallorophias,Euphausia crystallorophias,95520,N/A,NA,N/A,Fall,N/A,N/A,Antarctic,Southern,N/A,NA,Bomb calorimetry,Pooled whole body,NA,NA,NA,NA,NA,NA,71.7,NA,NA,22.8,NA,NA,6.45,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,superba,Euphausia superba,95514,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Bomb calorimetry,Pooled whole body,NA,NA,NA,NA,NA,NA,76.5,NA,NA,NA,NA,NA,4.71,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,crystallorophias,Euphausia crystallorophias,95520,N/A,NA,N/A,Fall,N/A,N/A,Antarctic,Southern,N/A,NA,Bomb calorimetry,Pooled whole body,NA,NA,NA,NA,NA,NA,80.6,NA,NA,19.9,NA,NA,3.85,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Myctophiformes,Myctophidae,Gymnoscopelus,nicholsi,Gymnoscopelus nicholsi,623820,N/A,NA,N/A,Fall,N/A,N/A,Antarctic,Southern,N/A,NA,Bomb calorimetry,Whole body,NA,NA,NA,NA,NA,NA,66.4,NA,NA,28.5,NA,NA,9.58,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Myctophiformes,Myctophidae,Krefftichthys,anderssoni,Krefftichthys anderssoni,623731,N/A,NA,N/A,Fall,N/A,N/A,Antarctic,Southern,N/A,NA,Bomb calorimetry,Whole body,NA,NA,NA,NA,NA,NA,66.6,NA,NA,30.3,NA,NA,10.1,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Myctophiformes,Myctophidae,Electrona,antarctica,Electrona antarctica,623809,N/A,NA,N/A,Fall,N/A,N/A,Antarctic,Southern,N/A,NA,Bomb calorimetry,Whole body,NA,NA,NA,NA,NA,NA,68.2,NA,NA,28.7,NA,NA,9.11,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Myctophiformes,Myctophidae,Electrona,antarctica,Electrona antarctica,623809,N/A,NA,N/A,Fall,N/A,Lazarev Sea,Antarctic,Southern,N/A,NA,Bomb calorimetry,Whole body,113,31.7,63.5,NA,3.6,NA,68.4,NA,NA,29.4,1.8,NA,9.35,1.58,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Myctophiformes,Myctophidae,Electrona,antarctica,Electrona antarctica,623809,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Bomb calorimetry,Whole body,27,61.9,61.9,3.9,3.9,NA,68.7,NA,NA,21.5,NA,NA,6.73,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Myctophiformes,Myctophidae,Gymnoscopelus,braueri,Gymnoscopelus braueri,623816,N/A,NA,N/A,Fall,N/A,Lazarev Sea,Antarctic,Southern,N/A,NA,Bomb calorimetry,Whole body,20,69.2,105,1,11.6,NA,69.5,NA,NA,29.4,1.5,NA,8.86,1.42,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Perciformes,Nototheniidae,Pleuragramma,antarcticum,Pleuragramma antarcticum,642933,N/A,NA,N/A,Fall,N/A,East Antarctica,Antarctic,Southern,N/A,NA,Bomb calorimetry,Whole body,2,NA,105,6,6.2,NA,70.2,NA,NA,25.5,1.2,NA,7.59,0.65,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Myctophiformes,Myctophidae,Electrona,antarctica,Electrona antarctica,623809,N/A,NA,N/A,Fall,N/A,East Antarctica,Antarctic,Southern,N/A,NA,Bomb calorimetry,Whole body,22,36.2,78.6,0.1,3.1,NA,73.7,NA,NA,27.2,2.8,NA,7.26,1.68,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Perciformes,Channichthyidae,Champsocephalus,gunnari,Champsocephalus gunnari,642743,N/A,NA,N/A,Fall,N/A,Kerguelen,Antarctic,Southern,N/A,NA,Bomb calorimetry,Whole body,3,296,328,NA,NA,NA,76.7,NA,NA,23.2,0.6,NA,5.4,0.3,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Osmeriformes,Bathylagidae,Bathylagus,antarcticus,Bathylagus antarcticus,182852,N/A,NA,N/A,Fall,N/A,Lazarev Sea,Antarctic,Southern,N/A,NA,Bomb calorimetry,Whole body,7,54.2,101,NA,6.7,NA,85.6,NA,NA,20.4,1.3,NA,2.92,0.42,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Perciformes,Nototheniidae,Pleuragramma,antarcticum,Pleuragramma antarcticum,642933,N/A,NA,N/A,Fall,N/A,East Antarctica,Antarctic,Southern,N/A,NA,Bomb calorimetry,Whole body,14,52,95,1,2.2,NA,87.9,NA,NA,21.8,0.4,NA,2.64,0.25,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,macrura,Thysanoessa macrura,95581,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Pooled whole body,1,NA,NA,NA,NA,NA,70.4,NA,NA,17,NA,NA,5.04,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Malacostraca,Amphipoda,Phrosinidae,Primno,macropa,Primno macropa,95188,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Pooled whole body,2,NA,NA,NA,NA,NA,70.6,NA,NA,16.7,NA,NA,4.92,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Malacostraca,Amphipoda,Vibiliidae,Vibilia,stebbingi,Vibilia stebbingi,95363,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Pooled whole body,1,NA,NA,NA,NA,NA,71.4,NA,NA,14.4,NA,NA,4.11,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,propinquus,Calanus propinquus,610032,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Pooled whole body,2,NA,NA,NA,NA,NA,74,NA,NA,21.3,NA,NA,5.44,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,superba,Euphausia superba,95514,N/A,NA,N/A,Fall,N/A,East Antarctica,Antarctic,Southern,N/A,NA,Proximate composition,Pooled whole body,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,5.31,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Maxillopoda,Calanoida,Euchaetidae,Paraeuchaeta,antarctica,Paraeuchaeta antarctica,667219,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Pooled whole body,1,NA,NA,NA,NA,NA,79.3,NA,NA,21.8,NA,NA,4.5,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Maxillopoda,Calanoida,Augaptilidae,Euaugaptilus,laticeps,Euaugaptilus laticeps,205958,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Pooled whole body,1,NA,NA,NA,NA,NA,83.7,NA,NA,10,NA,NA,1.67,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Maxillopoda,Calanoida,Aetideidae,Gaetanus,tenuispinus,Gaetanus tenuispinus,779941,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Pooled whole body,1,NA,NA,NA,NA,NA,85,NA,NA,12.1,NA,NA,1.67,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanoides,acutus,Calanoides acutus,610031,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Pooled whole body,2,NA,NA,NA,NA,NA,86,NA,NA,17.6,NA,NA,2.51,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperiella,antarctica,Hyperiella antarctica,95121,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Pooled whole body,1,NA,NA,NA,NA,NA,86.7,NA,NA,12.9,NA,NA,1.71,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Maxillopoda,Calanoida,Metridinidae,Metridia,gerlachei,Metridia gerlachei,85750,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Pooled whole body,1,NA,NA,NA,NA,NA,90.4,NA,NA,10.9,NA,NA,1.26,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chaetognatha,Sagittoidea,Phragmophora,Eukrohniidae,Eukrohnia,hamata,Eukrohnia hamata,158691,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Pooled whole body,1,NA,NA,NA,NA,NA,95,NA,NA,7.5,NA,NA,0.42,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Pseudosagitta,gazellae,Pseudosagitta gazellae,158802,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Pooled whole body,1,NA,NA,NA,NA,NA,95.1,NA,NA,5,NA,NA,0.42,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Maxillopoda,Calanoida,Rhincalanidae,Rhincalanus,gigas,Rhincalanus gigas,610045,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Pooled whole body,1,NA,NA,NA,NA,NA,NA,NA,NA,12.6,NA,NA,NA,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,Pasiphaea,scotiae,Pasiphaea scotiae,1187685,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Whole body,6,NA,NA,NA,NA,NA,63.2,NA,NA,22.8,NA,NA,8.4,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Myctophiformes,Myctophidae,Gymnoscopelus,braueri,Gymnoscopelus braueri,623816,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Whole body,3,101,101,8.7,8.7,NA,66.6,NA,NA,23.8,NA,NA,7.94,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Myctophiformes,Myctophidae,Gymnoscopelus,nicholsi,Gymnoscopelus nicholsi,623820,N/A,NA,N/A,Fall,N/A,N/A,Antarctic,Southern,N/A,NA,Proximate composition,Whole body,NA,NA,NA,NA,NA,NA,67,NA,NA,25.6,NA,NA,8.43,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Malacostraca,Amphipoda,Cyllopodidae,Cyllopus,lucasii,Cyllopus lucasii,656450,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Whole body,12,NA,NA,NA,NA,NA,68.7,NA,NA,18.2,NA,NA,5.69,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Malacostraca,Decapoda,Petalidiumidae,Petalidium,foliaceum,Petalidium foliaceum,552023,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Whole body,1,NA,NA,NA,NA,NA,71.8,NA,NA,19.8,NA,NA,5.58,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,macrocephala,Hyperia macrocephala,656447,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Whole body,1,NA,NA,NA,NA,NA,72.8,NA,NA,13.9,NA,NA,3.77,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Malacostraca,Amphipoda,Cyphocarididae,Cyphocaris,richardi,Cyphocaris richardi,656778,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Whole body,5,NA,NA,NA,NA,NA,74.7,NA,NA,11.5,NA,NA,2.92,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Arthropoda,Malacostraca,Amphipoda,Cyphocarididae,Cyphocaris,faurei,Cyphocaris faurei,656777,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Whole body,6,NA,NA,NA,NA,NA,76.4,NA,NA,10.3,NA,NA,2.42,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Perciformes,Nototheniidae,Notothenia,neglecta,Notothenia neglecta,642593,N/A,NA,N/A,Fall,N/A,Scotia Sea,Antarctic,Southern,N/A,NA,Proximate composition,Whole body,3,NA,NA,NA,NA,NA,78.4,NA,NA,24.8,NA,NA,5.35,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Perciformes,Nototheniidae,Gobionotothen,gibberifrons,Gobionotothen gibberifrons,642852,N/A,NA,N/A,Fall,N/A,Scotia Sea,Antarctic,Southern,N/A,NA,Proximate composition,Whole body,13,NA,NA,NA,NA,NA,79.8,NA,NA,24.1,NA,NA,4.85,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Myctophiformes,Myctophidae,Gymnoscopelus,opisthopterus,Gymnoscopelus opisthopterus,623821,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Whole body,6,109,109,NA,NA,NA,80.1,NA,NA,23,NA,NA,4.58,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Perciformes,Channichthyidae,Champsocephalus,gunnari,Champsocephalus gunnari,642743,N/A,NA,N/A,Fall,N/A,Scotia Sea,Antarctic,Southern,N/A,NA,Proximate composition,Whole body,3,422,452,NA,NA,NA,81,NA,NA,24.7,NA,NA,4.65,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Perciformes,Channichthyidae,Chaenocephalus,aceratus,Chaenocephalus aceratus,171122,N/A,NA,N/A,Fall,N/A,Scotia Sea,Antarctic,Southern,N/A,NA,Proximate composition,Whole body,10,NA,NA,NA,NA,NA,81.2,NA,NA,24.2,NA,NA,4.56,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Aulopiformes,Paralepididae,Notolepis,coatsi,Notolepis coatsi,644728,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Whole body,5,62.4,62.4,NA,NA,NA,82.2,NA,NA,14.9,NA,NA,2.65,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris,carpenteri,Tomopteris carpenteri,NA,N/A,NA,N/A,Fall,N/A,South Georgia,Antarctic,Southern,N/A,NA,Proximate composition,Whole body,5,NA,NA,NA,NA,NA,84.5,NA,NA,12.4,NA,NA,1.92,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
Chordata,Teleostei,Osmeriformes,Bathylagidae,Bathylagus,antarcticus,Bathylagus antarcticus,182852,N/A,NA,N/A,Fall,N/A,Weddell Sea,Antarctic,Southern,N/A,NA,Proximate composition,Whole body,32,77.2,77.2,3.8,3.8,NA,85.9,NA,NA,15.9,NA,NA,2.24,NA,NA,NA,NA,Review,Schaafsma et al.,Marine Biology,2018,Review of literature for Antarctica
